,ST,ST_conf,S1,S1_conf,S2,S2_conf
depth,0.8035313420894352,0.34450385125055716,0.016160649000954957,0.03517703726322153,,
lr,0.8820414879791715,0.40328152288804536,0.0031605866244944865,0.007326185058089663,,
timesteps,0.8464463669903366,0.3334490935231317,-0.0008425267701709677,0.005094123766495572,,
w1,1.5168386203481423,0.6277665004509866,0.00848237354425178,0.04014706351663223,,
w2,1.0099589511563207,0.4290940773082147,0.0005074363332745158,0.006648327463664042,,
w3,1.0650173756256864,0.43526523004566786,0.0386957536505682,0.07089014664677379,,
w4,0.8004673628457468,0.43705293288134106,0.001488507826727887,0.012897902009864409,,
width,0.8687243833112434,0.34730348657407956,0.007433311744631242,0.016582797395914926,,
"('timesteps', 'depth')",,,,,-0.017386801089190235,0.03588040367122655
"('timesteps', 'width')",,,,,0.0067737350138175785,0.025026675825406994
"('timesteps', 'lr')",,,,,0.0023738449946093696,0.00836257734668711
"('timesteps', 'w1')",,,,,-0.01146707603246245,0.0458455945864033
"('timesteps', 'w2')",,,,,0.008003212874854044,0.014705924056847886
"('timesteps', 'w3')",,,,,-0.03973300798994477,0.07077903121485972
"('timesteps', 'w4')",,,,,-0.002787237981256272,0.014976487332475098
"('depth', 'width')",,,,,-0.020494560546448035,0.03762396770769433
"('depth', 'lr')",,,,,-0.0181886586454771,0.036822170454140386
"('depth', 'w1')",,,,,-0.03294776154899215,0.051372899116662825
"('depth', 'w2')",,,,,0.017034008238044056,0.08479210171276245
"('depth', 'w3')",,,,,-0.0553707183573066,0.08728290160317398
"('depth', 'w4')",,,,,-0.008620645775208668,0.0361197432136939
"('width', 'lr')",,,,,-0.0058127888548782205,0.018667679784254876
"('width', 'w1')",,,,,0.033886520298525485,0.12311081406229682
"('width', 'w2')",,,,,-0.01214282244696235,0.017981317253670522
"('width', 'w3')",,,,,-0.04753677779014433,0.07508925061430083
"('width', 'w4')",,,,,-0.008156355256776163,0.02148991766883662
"('lr', 'w1')",,,,,-0.02242168200990223,0.04134255236195735
"('lr', 'w2')",,,,,-0.00313030387764115,0.013164741500669716
"('lr', 'w3')",,,,,-0.04816428601621091,0.07212861628209101
"('lr', 'w4')",,,,,0.0025435174393276683,0.026083901849911842
"('w1', 'w2')",,,,,0.01065633528464446,0.04936701278968383
"('w1', 'w3')",,,,,-0.03596147187988488,0.08888513941101699
"('w1', 'w4')",,,,,0.002143099590596261,0.05061854059719516
"('w2', 'w3')",,,,,-0.03901819590641356,0.06555150922622414
"('w2', 'w4')",,,,,-0.005875076429165753,0.014485072233182338
"('w3', 'w4')",,,,,-0.04227609257053206,0.07136766433001997
